TEMP,SALT,d5,d10,d30,d50,d100,d150,d200,d300,d500,d700,d900,d1000,d1200
28.418,35.05,28.343,28.267,27.712,26.24,23.903,22.159,20.086,16.28,11.582,8.749,6.158,5.318,4.291
28.461,34.969,28.413,28.367,28.023,26.661,24.188,22.013,19.973,16.177,11.501,8.646,6.094,5.224,4.198
28.481,34.946,28.437,28.4,28.188,26.882,23.853,21.728,19.676,15.927,11.26,8.364,5.879,5.113,4.187
27.978,34.924,27.955,27.934,27.867,27.187,23.665,21.625,19.589,15.856,11.299,8.472,6.049,5.287,4.247
27.093,34.964,27.086,27.08,27.091,26.967,23.764,21.73,19.687,15.947,11.381,8.511,6.085,5.295,4.235
25.862,34.995,25.859,25.855,25.85,25.877,23.957,21.59,19.511,15.753,11.264,8.437,6.033,5.238,4.191
24.727,35.036,24.724,24.721,24.711,24.737,24.121,21.673,19.577,15.8,11.258,8.446,6.02,5.212,4.15
24.249,35.052,24.241,24.233,24.205,24.19,23.952,21.902,19.828,16.027,11.307,8.495,6.119,5.283,4.247
24.239,35.057,24.219,24.199,24.119,24.026,23.752,22,19.76,16.054,11.476,8.613,6.172,5.329,4.28
24.903,35.095,24.862,24.826,24.645,24.422,23.757,22.115,19.907,16.122,11.486,8.636,6.139,5.264,4.235
26.16,35.117,26.097,26.034,25.596,24.99,23.863,22.262,20.12,16.306,11.561,8.716,6.188,5.337,4.296
28.403,35.049,28.33,28.256,27.716,26.281,23.725,22.151,20.064,16.235,11.507,8.671,6.137,5.318,4.299
28.477,34.972,28.427,28.38,28.044,26.694,23.917,22.011,19.966,16.137,11.42,8.568,6.075,5.229,4.21
28.475,34.942,28.431,28.392,28.179,26.876,23.874,21.68,19.623,15.863,11.174,8.283,5.861,5.114,4.198
27.985,34.919,27.962,27.942,27.873,27.181,23.647,21.554,19.52,15.778,11.216,8.393,6.013,5.271,4.252
27.096,34.957,27.089,27.084,27.09,26.957,23.926,21.673,19.625,15.873,11.31,8.452,6.061,5.286,4.248
25.855,34.989,25.852,25.849,25.844,25.876,24.116,21.534,19.448,15.697,11.195,8.374,6.012,5.231,4.202
24.721,35.031,24.718,24.715,24.707,24.733,24.173,21.611,19.51,15.737,11.19,8.374,5.995,5.207,4.167
24.235,35.047,24.227,24.219,24.193,24.184,23.93,21.839,19.756,15.946,11.239,8.431,6.089,5.274,4.255
24.232,35.05,24.212,24.192,24.117,24.026,23.751,21.969,19.719,16.004,11.394,8.524,6.123,5.31,4.283
24.894,35.088,24.852,24.816,24.642,24.426,23.767,22.104,19.881,16.08,11.406,8.552,6.105,5.26,4.246
26.137,35.112,26.074,26.01,25.596,25.004,23.878,22.246,20.098,16.268,11.485,8.637,6.156,5.334,4.31
28.363,35.051,28.292,28.221,27.698,26.303,23.906,22.132,20.047,16.204,11.453,8.62,6.131,5.322,4.306
28.476,34.977,28.425,28.376,28.048,26.715,23.879,22.006,19.968,16.114,11.356,8.515,6.072,5.242,4.226
28.447,34.94,28.404,28.364,28.151,26.867,23.622,21.623,19.574,15.81,11.113,8.238,5.867,5.129,4.214
27.966,34.918,27.946,27.927,27.856,27.171,23.694,21.492,19.467,15.733,11.166,8.354,5.999,5.265,4.262
27.074,34.952,27.068,27.063,27.063,26.923,23.895,21.617,19.575,15.826,11.272,8.434,6.059,5.287,4.266
25.824,34.986,25.822,25.819,25.816,25.851,24.108,21.477,19.394,15.667,11.165,8.351,6.009,5.236,4.219
24.694,35.029,24.691,24.688,24.681,24.706,24.14,21.549,19.456,15.696,11.157,8.342,5.994,5.215,4.193
24.198,35.043,24.191,24.183,24.158,24.152,23.885,21.774,19.69,15.881,11.204,8.407,6.083,5.279,4.27
24.2,35.044,24.181,24.161,24.091,24.002,23.726,21.938,19.689,15.978,11.337,8.47,6.096,5.301,4.291
24.855,35.081,24.813,24.776,24.611,24.401,23.757,22.103,19.879,16.067,11.354,8.505,6.09,5.266,4.26
26.084,35.106,26.02,25.956,25.563,24.985,23.859,22.217,20.082,16.245,11.43,8.589,6.14,5.339,4.324
28.308,35.055,28.24,28.172,27.668,26.321,23.965,22.113,20.035,16.183,11.407,8.581,6.131,5.324,4.312
28.464,34.984,28.411,28.361,28.04,26.724,23.887,21.997,19.974,16.1,11.298,8.474,6.075,5.258,4.242
28.411,34.939,28.367,28.328,28.115,26.862,23.87,21.564,19.531,15.767,11.066,8.213,5.884,5.151,4.234
27.929,34.92,27.911,27.895,27.825,27.159,23.593,21.436,19.424,15.708,11.137,8.34,5.995,5.264,4.276
27.037,34.948,27.031,27.027,27.018,26.873,23.665,21.553,19.522,15.791,11.245,8.431,6.065,5.291,4.286
25.779,34.985,25.777,25.774,25.772,25.81,23.857,21.419,19.347,15.653,11.156,8.349,6.016,5.248,4.242
24.651,35.029,24.649,24.647,24.64,24.663,24.09,21.489,19.412,15.667,11.14,8.329,6.003,5.229,4.223
24.148,35.039,24.142,24.134,24.109,24.105,24.097,21.712,19.628,15.827,11.183,8.397,6.088,5.29,4.289
24.15,35.039,24.132,24.113,24.048,23.961,23.83,21.905,19.666,15.964,11.293,8.44,6.086,5.302,4.306
24.793,35.074,24.752,24.714,24.556,24.352,23.687,22.101,19.885,16.065,11.318,8.482,6.088,5.28,4.278
26.008,35.099,25.943,25.88,25.507,24.946,23.732,22.173,20.06,16.221,11.381,8.551,6.129,5.343,4.338
28.243,35.06,28.179,28.115,27.635,26.34,23.869,22.095,20.027,16.172,11.366,8.55,6.133,5.325,4.316
28.438,34.991,28.384,28.332,28.018,26.718,23.847,21.983,19.972,16.089,11.245,8.442,6.077,5.27,4.258
28.37,34.937,28.327,28.287,28.072,26.862,23.559,21.508,19.497,15.736,11.036,8.211,5.907,5.176,4.255
27.878,34.925,27.863,27.849,27.779,27.138,23.627,21.382,19.387,15.698,11.127,8.347,5.998,5.264,4.291
26.99,34.944,26.986,26.982,26.964,26.815,23.81,21.476,19.46,15.754,11.222,8.435,6.072,5.295,4.305
